id;name;short_name;email;phone;address_line_1;address_line_2;city;country;fb_link
1;Health Berkshire;States solid invoice;"k'dF_@mOC.){_Y";(475) 965-1947 x9572;SMS Sports Avon;Operations Stravenue Tools;South Stephon;Brazil;Avon
2;Gorgeous;cross-platform calculate Berkshire;"U@]<|1.U~#OH9";1-736-203-9578;Sleek Cotton Orchestrator;Toys yellow;Janetview;Gibraltar;interface
3;capacity;Games enterprise Arkansas;"TZH>h@}=[r%.g<&'au";(243) 225-1953;Soft methodologies;recontextualize Ergonomic;Hermanhaven;Aruba;Chief
4;Fish;connecting syndicate;"i4{L@LU;O*G.oZ8";932-285-0045 x2656;leverage;Ergonomic;San Angelo;Canada;Centralized Future
5;Electronics;web-enabled cultivate;"\u[5.0@W.FC81Q";902-335-0342;Global Future users;Loan;Carriestad;Hungary;Sweden Customer Assistant
6;Unbranded International;Washington;"sliM8j@6-g4.:>9";862-812-7131 x408;Baby override Sleek;copy Account;Florinefurt;Ukraine;connecting edge
7;override;Solutions salmon;"JUbQ|g@v_..w$cdOe";(837) 527-3463 x2778;connect;enhance Shoes;Grand Junction;Kuwait;Specialist Nauru
8;Car;deposit Cheese;"y<cr~@_..";(396) 299-8043;viral ADP;connecting Oregon;Lake Shaynaberg;French Guiana;Nevada
9;aggregate Tactics mobile;backing USB;"z+YD6@F.mZ{Q";1-630-595-0691;Small lime Human;Forward;Lake Jenifer;Reunion;Steel Chad
10;markets Communications Licensed;cross-platform Plains;"HU&D?@MdVIN0.$xV$)Z";(908) 666-0031;Steel Vermont target;compress user-facing payment;North Ivaside;Vanuatu;SCSI
