id;lat_deg;lat_min;lat_sec;lat_direction;lng_deg;lng_min;lng_sec;lng_direction;lat_displayed_value;lng_displayed_value;lat_decimal;lng_decimal;link
1;27;15;73546;SOUTH;45;5;67885;WEST;Cheese;blue Tasty;64760;26544;Borders compressing
2;76;28;33259;NORTH;56;12;7986;EAST;hard Estates;panel connect;44422;51119;blockchains Crossroad Creative
3;84;39;69550;SOUTH;69;18;24975;EAST;Directives capacitor;Implementation Incredible redundant;10281;2283;North Customer-focused
4;27;29;55406;NORTH;124;13;99600;EAST;Personal virtual;primary;95901;62990;Polarised Brand
5;62;34;2494;SOUTH;147;57;30423;WEST;Automated;De-engineered Grocery lime;89917;19563;uniform Louisiana extranet
6;69;46;4770;NORTH;31;1;87827;WEST;Adaptive;Implementation;8655;39011;structure payment
7;33;16;79596;NORTH;58;22;96373;EAST;cross-platform synthesize fault-tolerant;generating full-range Texas;35788;5331;synergies
8;37;19;88987;SOUTH;76;29;83617;WEST;Chair up input;Internal Berkshire;9760;4311;Investor Brand Movies
9;55;49;73631;NORTH;98;21;21635;WEST;Buckinghamshire Buckinghamshire Wooden;Soft;14198;19909;Cotton Missouri
10;66;52;23957;SOUTH;100;57;60325;EAST;directional;compelling;29631;72771;calculate black Branding
