id;property;mid_night;mig_night_relevance;one;one_relevance;two;two_relevance;three;three_relevance;four;four_relevance;five;five_relevance;six;six_relevance;seven;seven_relevance;eight;eight_relevance;nine;nine_relevance;ten;ten_relevance;eleven;eleven_relevance;twelve;twelve_relevance;thirteen;thirteen_relevance;fourteen;fourteen_relevance;fifteen;fifteen_relevance;sixteen;sixteen_relevance;seventeen;seventeen_relevance;eighteen;eighteen_relevance;nineteen;nineteen_relevance;twenty;twenty_relevance;twenty_one;twenty_one_relevance;twenty_two;twenty_two_relevance;twenty_three
1;ICON;programming bypassing calculate;true;Regional;true;Account compressing Music;true;monetize deposit;true;Executive;false;Illinois Vincent;true;Bacon;true;disintermediate defect database;true;tolerance;false;network best-of-breed Assistant;true;Handmade;false;circuit;true;Exclusive Wooden;false;Circle Account;true;HDD;true;connecting;false;bandwidth withdrawal;true;Sudanese Associate;false;override;true;strategic incubate navigating;true;Manors open;false;Wells;false;Frozen Cambridgeshire;false;Grocery
2;UVINDEX;neutral Music;true;Account neural-net Bike;true;solutions collaboration recontextualize;true;Small Frozen Arizona;true;well-modulated Dobra black;true;Auto Account Kwacha;true;Central drive withdrawal;true;microchip Bedfordshire best-of-breed;true;monitor withdrawal array;false;yellow Licensed parsing;false;Robust;true;IB Orchard Cotton;false;Fantastic TCP markets;true;Gorgeous;false;Practical;true;intermediate;true;Forward Account;true;Avon generate next-generation;true;Walk THX fresh-thinking;true;Islands Orchestrator;false;Berkshire parsing;false;Russian Global maroon;false;Montana;false;optical
3;CLOUDCOVER;Clothing;true;Frozen New Direct;true;Personal systemic;true;executive;false;Account;false;Chicken Creative;true;facilitate Account Facilitator;false;programming Forward;true;Profound navigate Garden;false;Configurable Oro real-time;true;Profit-focused transmit;true;sky Investment;true;Virtual;true;success extend Facilitator;false;Montana Forward Chief;false;Customer Unions;true;Finland bandwidth;true;azure envisioneer black;false;override TCP;true;magenta Practical;false;orange Kiribati;true;streamline Small Buckinghamshire;true;Illinois;false;toolset
4;TIME;Customer Avon Phased;false;matrices Strategist cross-platform;true;Gold Multi-channelled;false;motivating Chicken online;false;reboot;true;foreground synthesizing Fresh;false;RAM;true;Soft violet Investor;true;Books;true;Innovative blue Officer;false;Rupee calculate override;true;Account Accountability;true;Dollar Loan;true;instruction CSS index;false;cyan;false;Account;true;SQL complexity;true;Internal Wooden Games;false;Multi-tiered;false;Frozen;true;Seamless Senior;false;Dollar Money B2B;false;Light;false;Electronics Silver Chief
5;HUMIDITY;Shirt teal deposit;false;olive withdrawal Latvian;true;Handmade Cotton;true;Toys;false;exuding;true;deposit Gorgeous infrastructures;false;invoice cross-platform synthesizing;true;Realigned Usability haptic;false;killer Borders;true;Incredible digital;true;Lead neutral Lead;false;Berkshire bandwidth;false;connecting Account programming;true;Balanced enterprise;false;Tobago;false;Hat;true;needs-based application;true;blue District;false;Lead Belarus HDD;true;Manor AI;true;Mobility;true;disintermediate;false;monitor Square bypassing;true;Computer reinvent customized
6;SUMMARY;compressing Peso;true;auxiliary Turnpike Account;false;Pula;false;bandwidth-monitored;false;generating;true;Unbranded Account;false;Avon Handmade Creative;true;lavender radical Kids;false;invoice parse;false;virtual;false;withdrawal Generic hacking;false;programming orange;true;redundant Versatile;false;Shirt open-source niches;false;Checking port Dinar;false;Liaison generating;true;Guilder;true;Togo;false;Supervisor Progressive invoice;true;multi-state;true;Somalia Lead;true;SSL Metal Bike;true;Communications;true;robust Bhutanese
7;UVINDEX;Light;true;bus;true;Ohio programming;true;Home Sharable;true;Terrace XSS;false;Ranch Practical;false;panel;false;project;false;grow;false;proactive Beauty Indiana;true;virtual Savings;true;Metrics;true;Port Salad reboot;true;Vermont;false;invoice Frozen California;true;Washington Keyboard;true;brand cutting-edge;false;capacity green;false;Connecticut Account Wooden;true;Guadeloupe Ameliorated;false;ubiquitous Buckinghamshire;true;Intelligent Tennessee;true;circuit;true;Fantastic Senior
8;WINDSPEED;Card Small Granite;false;Ergonomic Mouse Seamless;true;override Baht;true;CSS Cross-platform models;false;Personal expedite Refined;false;Handcrafted;true;synthesize;true;Enhanced;true;Guinea;false;synthesizing;false;calculate Account;true;Handcrafted Operative Fresh;true;Intranet Interactions;true;connecting Tuna;false;withdrawal Creative digital;true;programming user-facing Leu;false;synthesizing;true;Grocery;false;Group Research Account;false;payment parse;false;Idaho;true;generation;false;reboot system migration;false;Human
9;SUMMARY;Soft Points;true;Avon Loan;false;FTP;true;Cyprus;false;archive auxiliary;false;open-source;true;visualize;true;PCI Dollar calculating;false;Configuration bypassing;true;up well-modulated Coordinator;true;orchid Montana;false;program;true;Metal;false;Movies extend;false;Developer calculate;false;microchip program;false;Creative;false;parse online Washington;true;compressing hack;true;Tasty application blue;false;Minnesota;true;strategy green parse;false;relationships experiences;true;Fundamental Investment Barbados
10;UVINDEX;mindshare quantifying;false;EXE;true;Car;true;cross-media disintermediate Concrete;false;pink Escudo turn-key;true;Circle secured info-mediaries;true;withdrawal Dynamic;true;white;false;interface;true;copy;false;Salad challenge;true;open-source;false;New Concrete;true;networks Baht infrastructures;true;embrace District;true;AGP white infrastructures;false;Account SCSI;true;synergize Beauty;true;Cotton;true;Refined Franc;true;Arkansas;false;Cape withdrawal;true;Tools connect capacitor;false;Iowa
